Username,Length,Has_Numbers,Has_Underscore,Is_Alphanumeric,Has_Bot_Suffix,Length_Without_At
@rifmuyu_molcha,15,False,True,False,False,14
@rigel_dev,10,False,True,False,False,9
@ripplenetbot,13,False,False,True,True,12
@rsrsrsrsrsr,12,False,False,True,False,11
@rucargo,8,False,False,True,False,7
@russian_woomen,15,False,True,False,False,14
@samarqand_qizlarga_kvartira,28,False,True,False,False,27
@samuiisland,12,False,False,True,False,11
@saxiy_garant_admin,19,False,True,False,False,18
@secluding,10,False,False,True,False,9
@sexloto,8,False,False,True,False,7
@sharpieman,11,False,False,True,False,10
@shichouzhilua111,17,True,False,True,False,16
@simholder_support_666,22,True,True,False,False,21
@sinfulmoscow,13,False,False,True,False,12
@sitepron,9,False,False,True,False,8
@slaviccouple,13,False,False,True,False,12
@smegmaeater,12,False,False,True,False,11
@snowl,6,False,False,True,False,5
@speedsteering,14,False,False,True,False,13
@squadogs,9,False,False,True,False,8
@starsearner,12,False,False,True,False,11
@stend_ap,9,False,True,False,False,8
@stopjerking,12,False,False,True,False,11
@stuttgarterin,14,False,False,True,False,13
@supducks,9,False,False,True,False,8
@supercape,10,False,False,True,False,9
@taehyunggkim,13,False,False,True,False,12
@taken1000,10,True,False,True,False,9
@team_11_dream_cricket_fantasy,30,True,True,False,False,29
@telavivshops,13,False,False,True,False,12
@ton131,7,True,False,True,False,6
@ton_paulo_sale,15,False,True,False,False,14
@toncalm,8,False,False,True,False,7
@tonvivo,8,False,False,True,False,7
@trefnoy,8,False,False,True,False,7
@tribolante,11,False,False,True,False,10
@tucec,6,False,False,True,False,5
@tuning_amg,11,False,True,False,False,10
@unity3d_metaverse,18,True,True,False,False,17
@universeweb3,13,True,False,True,False,12
@uolkswagen,11,False,False,True,False,10
@usafoffical,12,False,False,True,False,11
@veniamis,9,False,False,True,False,8
@vip99999999999999999999,24,True,False,True,False,23
@voapi,6,False,False,True,False,5
@vodiy_toshkent_kattabozor_olxuzb,33,False,True,False,False,32
@walletavia,11,False,False,True,False,10
@wallpapers_hd_4k_8k_3d_2d,26,True,True,False,False,25
@washingtondccity,17,False,False,True,False,16
@we3id,6,True,False,True,False,5
@web3cams,9,True,False,True,False,8
@web3marketting,15,True,False,True,False,14
@werenbach,10,False,False,True,False,9
@whale_club_ticket,18,False,True,False,False,17
@whatsappreminder,17,False,False,True,False,16
@whystable,10,False,False,True,False,9
@wildberries_bank_official,26,False,True,False,False,25
@wildberriesbankru,18,False,False,True,False,17
@woieni,7,False,False,True,False,6
@worldminds,11,False,False,True,False,10
@wtonorg,8,False,False,True,False,7
@xbet_stavka_prognoz_1xbetchilar,32,True,True,False,False,31
@xian_shun,10,False,True,False,False,9
@xsdpu,6,False,False,True,False,5
@year_of_the_black_water_rabbit,31,False,True,False,False,30
@yinliu_88,10,True,True,False,False,9
@yongyeziwang,13,False,False,True,False,12
@zhangboju,10,False,False,True,False,9
@zhengcaihengcai,16,False,False,True,False,15
@zikr_qil,9,False,True,False,False,8
@ziwdy,6,False,False,True,False,5
@zt_tg,6,False,True,False,False,5
@zu_tg,6,False,True,False,False,5
